# PROVENANCE: extracted from MOPAC (Molecular Orbital PACkage)
# source repo: https://github.com/openmopac/mopac  tag: v23.2.5
# source file: src/models/parameters_C.F90 (ios, iop, iod, npq, main_group, ndelec, eheat, ams)
# license: Apache-2.0
# extraction script: tools/extract_xndo_params.py
# note: values are published scientific constants; see THIRD_PARTY_NOTICES.md
# tore (core charge) has no data statement; it is derived as tore = ios + iop + iod (src/run_mopac.F90:129, also src/interface/mopac_api_initialize.F90:118)
# runtime overrides NOT applied here: switch.F90 fractional_metal_ion sets tore(85)=-0.5, tore(87)=+0.5 for pseudo-ion use with transition metals
# eheat entries absent from the source (Z=84,85,87-89,91-101) are emitted as 0
# main_group: 1=.true., 0=.false.; eheat_kcal in kcal/mol; mass = ams (amu)
z,sym,ios,iop,iod,npq_s,npq_p,npq_d,main_group,ndelec,eheat_kcal,mass,tore
1,H,1,0,0,1,1,0,1,0,52.102,1.00790,1
2,He,2,0,0,1,2,0,1,0,0.000,4.00260,2
3,Li,1,0,0,2,2,0,1,0,38.410,6.94000,1
4,Be,2,0,0,2,2,0,1,0,76.960,9.01218,2
5,B,2,1,0,2,2,0,1,0,135.700,10.81000,3
6,C,2,2,0,2,2,0,1,0,170.890,12.01100,4
7,N,2,3,0,2,2,0,1,0,113.000,14.00670,5
8,O,2,4,0,2,2,0,1,0,59.559,15.99940,6
9,F,2,5,0,2,2,0,1,0,18.890,18.99840,7
10,Ne,0,6,0,3,2,0,1,0,0.000,20.17900,6
11,Na,1,0,0,3,3,3,1,0,25.650,22.98977,1
12,Mg,2,0,0,3,3,3,1,0,35.000,24.30500,2
13,Al,2,1,0,3,3,3,1,0,79.490,26.98154,3
14,Si,2,2,0,3,3,3,1,0,108.390,28.08550,4
15,P,2,3,0,3,3,3,1,0,75.570,30.97376,5
16,S,2,4,0,3,3,3,1,0,66.400,32.06000,6
17,Cl,2,5,0,3,3,3,1,0,28.990,35.45300,7
18,Ar,0,6,0,4,3,4,1,0,0.000,39.94800,6
19,K,1,0,0,4,4,3,1,0,21.420,39.09830,1
20,Ca,2,0,0,4,4,3,1,0,42.600,40.08000,2
21,Sc,2,0,1,4,4,3,0,0,90.300,44.95590,3
22,Ti,2,0,2,4,4,3,0,0,112.300,47.90000,4
23,V,2,0,3,4,4,3,0,2,122.900,50.94150,5
24,Cr,1,0,5,4,4,3,0,2,95.000,51.99600,6
25,Mn,2,0,5,4,4,3,0,4,67.700,54.93800,7
26,Fe,2,0,6,4,4,3,0,4,99.300,55.84700,8
27,Co,2,0,7,4,4,3,0,6,102.400,58.93320,9
28,Ni,2,0,8,4,4,3,0,8,102.800,58.71000,10
29,Cu,1,0,10,4,4,3,0,10,80.700,63.54600,11
30,Zn,2,0,0,4,4,4,1,10,31.170,65.38000,2
31,Ga,2,1,0,4,4,4,1,0,65.400,69.73500,3
32,Ge,2,2,0,4,4,4,1,0,89.500,72.59000,4
33,As,2,3,0,4,4,4,1,0,72.300,74.92160,5
34,Se,2,4,0,4,4,4,1,0,54.300,78.96000,6
35,Br,2,5,0,4,4,4,1,0,26.740,79.90400,7
36,Kr,0,6,0,5,4,5,1,0,0.000,83.80000,6
37,Rb,1,0,0,5,5,4,1,0,19.600,85.46780,1
38,Sr,2,0,0,5,5,4,1,0,39.100,87.62000,2
39,Y,2,0,1,5,5,4,0,0,101.500,88.90590,3
40,Zr,2,0,2,5,5,4,0,0,145.500,91.22000,4
41,Nb,1,0,4,5,5,4,0,2,172.400,92.90640,5
42,Mo,1,0,5,5,5,4,0,2,157.300,95.94000,6
43,Tc,2,0,5,5,5,4,0,4,162.000,98.90620,7
44,Ru,1,0,7,5,5,4,0,4,155.500,101.0700,8
45,Rh,1,0,8,5,5,4,0,6,133.000,102.9055,9
46,Pd,0,0,10,5,5,4,0,8,90.000,106.4000,10
47,Ag,1,0,10,5,5,4,0,10,68.100,107.8680,11
48,Cd,2,0,0,5,5,5,1,10,26.720,112.4100,2
49,In,2,1,0,5,5,5,1,0,58.000,114.8200,3
50,Sn,2,2,0,5,5,5,1,0,72.200,118.6900,4
51,Sb,2,3,0,5,5,5,1,0,63.200,121.7500,5
52,Te,2,4,0,5,5,5,1,0,47.000,127.6000,6
53,I,2,5,0,5,5,5,1,0,25.517,126.9045,7
54,Xe,0,6,0,6,5,6,1,0,0.000,131.3000,6
55,Cs,1,0,0,6,6,5,1,0,18.700,132.9054,1
56,Ba,2,0,0,6,6,5,1,0,42.500,137.3300,2
57,La,2,0,1,6,6,5,0,0,103.011,138.9060,3
58,Ce,2,0,1,6,6,5,0,0,101.004,140.1160,3
59,Pr,2,0,1,6,6,5,0,0,84.990,140.9077,3
60,Nd,2,0,1,6,6,5,0,0,78.298,144.2400,3
61,Pm,2,0,1,6,6,5,0,0,83.174,145.0000,3
62,Sm,2,0,1,6,6,5,0,0,49.402,150.3600,3
63,Eu,2,0,1,6,6,5,0,0,41.898,151.9640,3
64,Gd,2,0,1,6,6,5,0,0,95.007,157.2500,3
65,Tb,2,0,1,6,6,5,0,0,92.902,158.9253,3
66,Dy,2,0,1,6,6,5,0,0,69.407,162.5000,3
67,Ho,2,0,1,6,6,5,0,0,71.893,164.9303,3
68,Er,2,0,1,6,6,5,0,0,75.791,167.2600,3
69,Tm,2,0,1,6,6,5,0,0,55.500,168.9342,3
70,Yb,2,0,1,6,6,5,0,0,36.358,173.0400,3
71,Lu,2,0,1,6,6,5,0,0,102.199,174.9670,3
72,Hf,2,0,2,6,6,5,0,0,148.000,178.4900,4
73,Ta,2,0,3,6,6,5,0,2,186.900,180.9479,5
74,W,1,0,5,6,6,5,0,2,203.100,183.8500,6
75,Re,2,0,5,6,6,5,0,4,185.000,186.2070,7
76,Os,2,0,6,6,6,5,0,4,188.000,190.2000,8
77,Ir,2,0,7,6,6,5,0,6,160.000,192.2200,9
78,Pt,1,0,9,6,6,5,0,8,135.200,195.0900,10
79,Au,1,0,10,6,6,5,0,10,88.000,196.9665,11
80,Hg,2,0,0,6,6,6,1,10,14.690,200.5900,2
81,Tl,2,1,0,6,6,6,1,0,43.550,204.3700,3
82,Pb,2,2,0,6,6,6,1,0,46.620,207.2000,4
83,Bi,2,3,0,6,6,6,1,0,50.100,208.9804,5
84,Po,2,4,0,6,6,6,1,0,0,209.0000,6
85,At,2,5,0,6,6,6,1,0,0,210.0000,7
86,Rn,0,6,0,7,6,7,1,0,0.000,222.0000,6
87,Fr,1,0,0,0,0,0,1,0,0,223.0000,1
88,Ra,1,0,0,0,0,0,1,0,0,226.0000,1
89,Ac,2,0,1,0,0,0,1,0,0,227.0000,3
90,Th,4,0,0,0,0,0,1,0,1674.64,232.0381,4
91,Pa,2,0,0,0,0,0,1,0,0,231.0359,2
92,U,2,0,0,0,0,0,1,0,0,238.0289,2
93,Np,2,0,0,0,0,0,1,0,0,0.000,2
94,Pu,2,0,0,0,0,0,1,0,0,0.000,2
95,Am,2,0,0,0,0,0,1,0,0,0.000,2
96,Cm,2,0,0,0,0,0,1,0,0,0.000,2
97,Bk,2,0,0,0,0,0,1,0,0,0.000,2
98,Mi,1,0,0,1,0,0,1,0,0,0.00005,1
99,XX,0,0,0,0,0,0,1,0,0,0.,0
100,+3,3,0,0,0,0,0,1,0,0,0.,3
101,-3,-3,0,0,0,0,0,1,0,0,0.,-3
102,Cb,1,0,0,3,0,0,1,0,207.0,1.0079,1
103,++,2,0,0,0,0,0,1,0,0.0,0.000,2
104,+,1,0,0,0,0,0,1,0,0.0,0.000,1
