# PROVENANCE: MOPAC7 public-domain block.f, BETA3/ALP3 indices 1..153
# UPSTREAM: https://sources.debian.org/src/mopac7/1.15-4/fortran/block.f/
# LICENSE: Public Domain notice in MOPAC7; see third_party/mopac7/NOTICE
# beta_ab is dimensionless resonance scaling; alpha_ab is the MINDO/3 core-core exponential parameter (Angstrom^-1 convention used by the implementation).
z1,z2,beta_ab,alpha_ab
1,1,0.244770,1.489450
1,5,0.185347,2.090352
5,5,0.151324,2.280544
1,6,0.315011,1.475836
5,6,0.250031,2.138291
6,6,0.419907,1.371208
1,7,0.360776,0.589380
5,7,0.310959,1.909763
6,7,0.410886,1.635259
7,7,0.377342,2.029618
1,8,0.417759,0.478901
5,8,0.349745,2.484827
6,8,0.464514,1.820975
7,8,0.458110,1.873859
8,8,0.659407,1.537190
1,9,0.195242,3.771362
5,9,0.219591,2.862183
6,9,0.247494,2.725913
7,9,0.205347,2.861667
8,9,0.334044,2.266949
9,9,0.197464,3.864997
1,14,0.289647,0.940789
6,14,0.411377,1.101382
14,14,0.291703,0.918432
1,15,0.320118,0.923170
6,15,0.457816,1.029693
8,15,0.470000,1.662500
9,15,0.300000,1.750000
15,15,0.311790,1.186652
1,16,0.220654,1.700698
6,16,0.284620,1.761370
7,16,0.313170,1.878176
8,16,0.422890,2.077240
16,16,0.202489,1.751617
1,17,0.231653,2.089404
6,17,0.315480,1.676222
7,17,0.302298,1.817064
15,17,0.277322,1.543720
16,17,0.221764,1.950318
17,17,0.258969,1.792125
