# PROVENANCE: MOPAC7 public-domain block.f MINDO/3 section and shared one-centre tables
# UPSTREAM: https://sources.debian.org/src/mopac7/1.15-4/fortran/block.f/
# LICENSE: Public Domain notice in MOPAC7; see third_party/mopac7/NOTICE
# NOTE: hp2_ev is exactly (gpp_ev-gp2_ev)/2, which is how MOPAC7 forms it -- fock1.f writes GPP-GP2 and 0.5*(GPP-GP2) into the Fock matrix and stores no separate integral. Through v0.2.4 four values (N, Si, S, Cl) were stored rounded to two decimals, 0.005 eV each; that is a model change, worth 2.2e-2 eV per chlorine atom against MOPAC7. Other fields are direct MOPAC7 values/consolidations.
z,sym,n_s,n_p,n_orb,core_charge,uss_ev,upp_ev,vs_ev,vp_ev,zeta_s,zeta_p,gss_ev,gsp_ev,gpp_ev,gp2_ev,hsp_ev,hp2_ev,f03_ev,e_isol_ev,e_heat_kcal
1,H,1,1,1,1.0,-12.505,0.0,-13.605,0.0,1.3,0.0,12.848,0.0,0.0,0.0,0.0,0.0,12.848,-12.505,52.102
5,B,2,2,4,3.0,-33.61,-25.11,-15.16,-8.52,1.211156,0.972826,10.59,9.56,8.86,7.86,1.81,0.5,8.958,-61.7,135.7
6,C,2,2,4,4.0,-51.79,-39.18,-21.34,-11.54,1.739391,1.709645,12.23,11.47,11.08,9.84,2.43,0.62,10.833,-119.47,170.89
7,N,2,2,4,5.0,-66.06,-56.4,-27.51,-14.34,2.704546,1.870839,13.59,12.66,12.98,11.59,3.14,0.695,12.377,-187.51,113.0
8,O,2,2,4,6.0,-91.73,-78.8,-35.3,-17.91,3.640575,2.168448,15.42,14.48,14.52,12.98,3.94,0.77,13.985,-307.07,59.559
9,F,2,2,4,7.0,-129.86,-105.93,-43.7,-20.89,3.11127,1.41986,16.92,17.25,16.71,14.91,4.83,0.9,16.25,-475.0,18.86
14,Si,3,3,4,4.0,-39.82,-29.15,-17.82,-8.51,1.629173,1.381721,9.82,8.36,7.31,6.54,1.32,0.385,7.57,-90.98,106.0
15,P,3,3,4,5.0,-56.23,-42.31,-21.1,-10.29,1.926108,1.590665,11.56,10.08,8.64,7.68,1.92,0.48,9.0,-150.81,79.8
16,S,3,3,4,6.0,-73.39,-57.25,-23.84,-12.41,1.71948,1.403205,12.88,11.26,9.9,8.83,2.26,0.535,10.2,-229.15,65.65
17,Cl,3,3,4,7.0,-98.99,-76.43,-25.26,-15.09,3.430887,1.627017,15.03,13.16,11.3,9.97,2.42,0.665,11.73,-345.93,28.95
