# PROVENANCE: extracted from OpenMOPAC (Molecular Orbital PACkage)
# source repo: https://github.com/openmopac/mopac  tag: v23.2.5
# source file: src/models/alpb_and_xfac_mndo.F90
# source license: Apache-2.0
# extraction script: tools/extract_xndo_params.py
zi,zj,alpb,xfac
3,1,1.574938e0,1.267656e0
3,3,1.116981e0,1.867382e0
6,3,1.331736e0,0.924766e0
7,3,1.539010e0,0.917994e0
8,3,1.246611e0,0.532906e0
9,3,1.100244e0,0.439938e0
11,1,2.509533e0,10.000001e0
11,6,1.600907e0,1.968197e0
11,7,2.137374e0,7.127566e0
11,8,1.645246e0,1.815137e0
11,9,1.454308e0,1.176276e0
11,11,1.237658e0,4.403848e0
12,1,2.225309e0,3.720059e0
12,6,2.261280e0,4.077811e0
12,7,2.235036e0,2.449707e0
12,8,1.861494e0,1.028465e0
12,9,2.020390e0,1.351638e0
12,12,1.836049e0,10.000011e0
16,3,3.607514e0,1.246952e0
16,11,3.292794e0,2.813852e0
16,12,2.042320e0,2.144097e0
17,3,1.697747e0,1.268099e0
17,11,1.808032e0,2.574233e0
17,12,1.827473e0,1.305523e0
19,1,1.320313e0,4.298548e0
19,6,0.999445e0,0.849075e0
19,7,2.161504e0,6.502600e0
19,8,2.008450e0,2.658504e0
19,9,0.999684e0,0.489361e0
19,16,3.669853e0,8.085841e0
19,17,1.873677e0,5.877136e0
19,19,1.428561e0,8.818535e0
20,1,1.232916e0,2.523722e0
20,6,0.999988e0,0.719460e0
20,7,0.999988e0,0.478031e0
20,8,1.971239e0,1.362643e0
20,9,1.519589e0,0.714119e0
20,16,0.999943e0,0.473306e0
20,17,1.106581e0,0.445562e0
20,20,0.999160e0,9.359604e0
21,1,1.676255e0,0.100038e0
21,6,1.432818e0,0.520317e0
21,7,1.000663e0,0.235793e0
21,8,2.142980e0,0.958225e0
21,9,1.060263e0,0.209576e0
21,13,1.000109e0,0.100109e0
21,15,1.000121e0,0.253782e0
21,16,1.000706e0,0.234873e0
21,17,1.849424e0,0.778710e0
21,21,1.000275e0,0.100274e0
22,1,1.021853e0,0.246319e0
22,6,1.346533e0,0.552633e0
22,7,1.637988e0,0.663632e0
22,8,2.121591e0,1.244152e0
22,9,1.691383e0,0.557018e0
22,13,1.010468e0,0.099946e0
22,15,1.000705e0,0.332715e0
22,16,1.101330e0,0.263489e0
22,17,1.442739e0,0.394445e0
22,22,0.999929e0,0.465550e0
23,1,2.099912e0,0.539076e0
23,6,2.111663e0,0.928294e0
23,7,2.985690e0,2.492636e0
23,8,2.706614e0,1.949912e0
23,9,1.953405e0,0.624110e0
23,15,2.220280e0,1.568020e0
23,16,2.349793e0,1.712026e0
23,17,3.099188e0,3.851130e0
23,23,3.339987e0,1.934781e0
24,1,3.693279e0,9.412996e0
24,6,2.545791e0,2.590834e0
24,7,1.856777e0,0.445433e0
24,8,2.761764e0,2.181701e0
24,9,2.018260e0,0.588431e0
24,11,1.259973e0,0.489256e0
24,15,3.705498e0,5.795478e0
24,16,1.294459e0,0.291800e0
24,17,2.376352e0,1.398679e0
24,19,1.000000e0,1.033088e0
24,24,1.411352e0,0.555820e0
26,1,4.086290e0,9.514035e0
26,6,2.065348e0,0.462249e0
26,7,2.153388e0,0.512937e0
26,8,2.196403e0,0.482389e0
26,9,2.806610e0,1.252944e0
26,16,2.644622e0,1.376080e0
26,17,2.950885e0,1.689985e0
26,26,2.941730e0,1.107774e0
27,1,4.091550e0,2.317736e0
27,6,2.028624e0,0.296687e0
27,7,2.864252e0,1.105497e0
27,8,3.401118e0,1.954967e0
27,9,1.806946e0,0.149166e0
27,15,4.244101e0,1.244784e0
27,16,2.293154e0,0.224918e0
27,17,1.696901e0,0.098378e0
27,27,1.390891e0,0.611200e0
28,6,2.047692e0,0.594612e0
28,7,3.197290e0,2.825048e0
28,8,3.650551e0,2.220774e0
28,9,4.138390e0,3.183738e0
28,15,5.804675e0,2.450729e0
28,16,3.109609e0,2.512540e0
28,17,3.420216e0,2.431295e0
29,1,2.679471e0,0.812933e0
29,6,2.428147e0,0.629043e0
29,7,1.513341e0,0.126664e0
29,8,2.615641e0,0.574106e0
29,9,2.439234e0,0.431529e0
29,15,2.006445e0,0.318485e0
29,16,1.484117e0,0.122708e0
29,17,1.621943e0,0.147900e0
29,29,2.056349e0,0.129793e0
33,27,3.368144e0,1.675239e0
35,3,2.267688e0,4.129581e0
35,11,2.403632e0,10.000006e0
35,12,2.275335e0,3.649579e0
35,19,2.029580e0,8.686070e0
35,20,1.217321e0,0.622015e0
35,21,1.752557e0,0.692157e0
35,22,1.220144e0,0.256820e0
35,23,3.776685e0,8.941343e0
35,24,1.450054e0,0.336528e0
35,26,3.501908e0,6.338691e0
35,27,4.000589e0,3.634965e0
35,28,3.117064e0,1.904637e0
35,29,1.825733e0,0.203501e0
37,1,2.163911e0,7.659030e0
37,8,3.605597e0,6.635511e0
37,9,2.940757e0,6.559839e0
37,17,2.006252e0,3.308870e0
37,35,2.135073e0,5.523206e0
37,37,2.329519e0,7.321125e0
38,1,0.999390e0,3.279894e0
38,6,1.006168e0,0.104550e0
