# PROVENANCE: extracted from OpenMOPAC (Molecular Orbital PACkage)
# source repo: https://github.com/openmopac/mopac  tag: v23.2.5
# source file: src/models/parameters_for_INDO_C.F90
# source license: Apache-2.0
# extraction script: tools/extract_xndo_params.py
z,sym,isok,norb,zcore,zeta_sp,zeta_d1,zeta_d2,zeta_w1,zeta_w2,beta_s,beta_p,beta_d,fg1,fg2,fg3,fg4,fg5,fg6,fg7,fg8,fg9,fg10,fg11,fg12,fg13,fg14,fg15,fg16,fg17,fg18,fg19,fg20,fg21,fg22,fg23,fg24
1,H,1,1,1.000000e0,1.200000e0,0,0,0,0,-12.000000e0,0,0,-13.060000e0,0,0,0,0,0,0,1.000000e0,0,0,12.850000e0,12.850000e0,0,0,0,0,0,0,0,0,0,0,0,0
3,Li,1,4,1.000000e0,0.650000e0,0,0,0,0,-1.000000e0,-1.000000e0,0,-5.410000e0,0,-3.610000e0,0,0,0,0,1.000000e0,0,0,4.570000e0,4.570000e0,0,2.503730e0,1.356879e0,0,0,0,0,0,0,0,0,0
4,Be,1,4,2.000000e0,0.975000e0,0,0,0,0,-13.000000e0,-13.000000e0,0,-9.330000e0,0,-5.880000e0,0,0,0,0,1.000000e0,0,0,6.780000e0,6.780000e0,0,3.828126e0,2.656354e0,0,0,0,0,0,0,0,0,0
5,B,1,4,3.000000e0,1.300000e0,0,0,0,0,-8.000000e0,-8.000000e0,0,-14.000000e0,0,-8.240000e0,0,0,0,0,1.000000e0,0,0,8.680000e0,8.680000e0,0,5.401481e0,3.480847e0,0,0,0,0,0,0,0,0,0
6,C,1,4,4.000000e0,1.625000e0,0,0,0,0,-17.000000e0,-17.000000e0,0,-19.420000e0,0,-10.700000e0,0,0,0,0,1.000000e0,0,0,11.110000e0,11.110000e0,0,6.897842e0,4.509913e0,0,0,0,0,0,0,0,0,0
7,N,1,4,5.000000e0,1.950000e0,0,0,0,0,-26.000000e0,-26.000000e0,0,-25.580000e0,0,-13.250000e0,0,0,0,0,1.000000e0,0,0,12.010000e0,12.010000e0,0,8.958454e0,6.459559e0,0,0,0,0,0,0,0,0,0
8,O,1,4,6.000000e0,2.275000e0,0,0,0,0,-34.000000e0,-34.000000e0,0,-32.490000e0,0,-15.880000e0,0,0,0,0,1.000000e0,0,0,13.000000e0,13.000000e0,0,11.815414e0,6.902802e0,0,0,0,0,0,0,0,0,0
9,F,1,4,7.000000e0,2.600000e0,0,0,0,0,-44.000000e0,-44.000000e0,0,-40.140000e0,0,-18.610000e0,0,0,0,0,1.000000e0,0,0,14.000000e0,14.000000e0,0,14.484415e0,8.593198e0,0,0,0,0,0,0,0,0,0
11,Na,1,4,1.000000e0,0.836000e0,0,0,0,0,-5.000000e0,-5.000000e0,0,-4.860000e0,0,-2.860000e0,0,0,0,0,1.000000e0,0,0,3.310000e0,3.310000e0,1.670000e0,1.667583e0,0.743903e0,0,0,0,0,0,0,0,0,0
12,Mg,1,4,2.000000e0,1.103000e0,0,0,0,0,-6.000000e0,-6.000000e0,0,-8.110000e0,0,-4.550000e0,0,0,0,0,1.000000e0,0,0,4.790000e0,4.790000e0,2.430000e0,2.476454e0,3.273174e0,0,0,0,0,0,0,0,0,0
13,Al,1,4,3.000000e0,1.370000e0,0,0,0,0,-7.000000e0,-7.000000e0,0,-11.420000e0,0,-6.290000e0,0,0,0,0,1.000000e0,0,0,6.210000e0,6.210000e0,3.420000e0,3.359095e0,1.602491e0,0,0,0,0,0,0,0,0,0
14,Si,1,4,4.000000e0,1.520000e0,0,0,0,0,-9.000000e0,-9.000000e0,0,-14.790000e0,0,-8.100000e0,0,0,0,0,1.000000e0,0,0,7.570000e0,7.570000e0,4.630000e0,4.812310e0,2.262706e0,0,0,0,0,0,0,0,0,0
15,P,1,4,5.000000e0,1.730000e0,0,0,0,0,-15.000000e0,-15.000000e0,0,-18.230000e0,0,-9.980000e0,0,0,0,0,1.000000e0,0,0,8.860000e0,8.860000e0,6.090000e0,1.047788e0,2.947716e0,0,0,0,0,0,0,0,0,0
16,S,1,4,6.000000e0,1.925000e0,0,0,0,0,-15.000000e0,-15.000000e0,0,-21.730000e0,0,-11.920000e0,0,0,0,0,1.000000e0,0,0,10.090000e0,10.090000e0,7.770000e0,3.075668e0,4.537809e0,0,0,0,0,0,0,0,0,0
