# ZINDO/S-CIS over a planar C/N/O/H chromophore set. Generated by
# tests/photoexcitation.rs; regenerate with XNDO_STUDY_WRITE=1.
# polarisation is exact for a planar molecule: reflection in the
# molecular plane separates the in-plane dipole components from the
# normal one, so no transition can be polarised partly along both.
molecule	spin	root	energy_ev	oscillator	polarisation	d_ct_angstrom	diff_dipole_debye	why
ethene	singlet	1	7.153085	0.503590	in-plane	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	singlet	2	7.684551	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	singlet	3	8.168219	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	singlet	4	8.732186	0.086795	out-of-plane	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	singlet	5	10.153349	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	singlet	6	10.532516	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	triplet	1	2.456329	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	triplet	2	6.365043	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	triplet	3	7.941192	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	triplet	4	7.971918	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	triplet	5	9.733944	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
ethene	triplet	6	10.162598	0.000000	dark	0.0000	0.0000	the smallest pi system; one double bond and nothing else
butadiene	singlet	1	5.155453	1.038299	in-plane	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	singlet	2	5.908034	0.000017	out-of-plane	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	singlet	3	6.568836	0.002644	out-of-plane	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	singlet	4	6.855779	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	singlet	5	7.315402	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	singlet	6	7.713344	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	triplet	1	1.342300	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	triplet	2	3.395828	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	triplet	3	5.499326	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	triplet	4	5.787648	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	triplet	5	6.229383	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
butadiene	triplet	6	7.384112	0.000000	dark	0.0000	0.0000	conjugation over two double bonds; the first step of the polyene series
benzene	singlet	1	4.706869	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	singlet	2	5.359874	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	singlet	3	6.220131	0.871917	in-plane	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	singlet	4	6.220131	0.871917	in-plane	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	singlet	5	7.071653	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	singlet	6	7.071657	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	triplet	1	2.209138	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	triplet	2	3.762226	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	triplet	3	3.762227	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	triplet	4	4.706869	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	triplet	5	5.248468	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
benzene	triplet	6	5.248471	0.000000	dark	0.0000	0.0000	aromatic, fully delocalised, degenerate frontier orbitals
pyridine	singlet	1	4.080914	0.011784	out-of-plane	0.5156	3.8535	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	singlet	2	4.640431	0.066193	in-plane	0.0185	0.0882	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	singlet	3	5.347755	0.000000	dark	0.9143	5.6479	one ring nitrogen: an in-plane lone pair above the pi system
pyridine	singlet	4	5.427166	0.004434	in-plane	0.0325	0.1424	one ring nitrogen: an in-plane lone pair above the pi system
